        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
#              s             mB             ?C              %            m/s              ?              m
#---------------------------------------------------------------------------------------------------------
          206,0         860,24          +8,74          71,38           17,6            324          822,7
          207,0         859,78          +8,71          71,52           17,5            324          827,1
          208,0         859,33          +8,67          71,67           17,5            324          831,5
          209,0         858,87          +8,62          71,72           17,6            325          835,9
          210,0         858,41          +8,59          71,94           17,7            325          840,4
          211,0         857,95          +8,55          71,93           17,8            325          844,8
          212,0         857,48          +8,51          72,18           17,9            324          849,3
          213,0         857,02          +8,46          72,06           17,9            324          853,8
          214,0         856,55          +8,38          72,34           17,8            324          858,2
          215,0         856,10          +8,34          72,68           17,7            324          862,7
          216,0         855,64          +8,29          72,87           17,6            324          867,0
          217,0         855,19          +8,25          73,01           17,6            325          871,4
          218,0         854,74          +8,22          73,18           17,7            325          875,8
          219,0         854,28          +8,18          73,34           17,8            325          880,2
          220,0         853,83          +8,14          73,18           17,9            325          884,6
          221,0         853,38          +8,11          73,38           17,9            325          888,9
          222,0         852,92          +8,09          73,14           17,9            324          893,4
          223,0         852,46          +8,05          72,97           17,8            324          897,8
          224,0         852,00          +8,00          73,33           17,6            324          902,3
          225,0         851,54          +7,96          73,36           17,6            324          906,8
          226,0         851,08          +7,90          73,57           17,6            325          911,3
          227,0         850,61          +7,86          73,92           17,7            325          915,8
          228,0         850,13          +7,84          73,96           17,9            325          920,4
          229,0         849,66          +7,81          73,93           18,0            325          925,0
          230,0         849,19          +7,80          73,90           18,1            325          929,6
          231,0         848,71          +7,77          73,82           18,1            325          934,2
          232,0         848,23          +7,73          73,92           18,0            325          938,9
          233,0         847,74          +7,68          74,09           18,0            325          943,7
          234,0         847,25          +7,65          74,07           17,9            325          948,4
          235,0         846,76          +7,61          74,26           17,9            325          953,2
          236,0         846,27          +7,56          74,56           17,8            325          958,0
          237,0         845,78          +7,51          74,68           17,7            325          962,7
          238,0         845,29          +7,46          74,80           17,6            325          967,5
          239,0         844,80          +7,41          74,84           17,5            325          972,3
          240,0         844,31          +7,37          74,86           17,4            325          977,1
          241,0         843,82          +7,32          75,15           17,4            326          981,9
          242,0         843,32          +7,27          75,23           17,5            326          986,8
          243,0         842,82          +7,24          75,58           17,6            326          991,6
          244,0         842,33          +7,19          75,76           17,7            326          996,4
          245,0         841,83          +7,14          75,72           17,7            326         1001,3
          246,0         841,34          +7,08          76,16           17,6            326         1006,1
          247,0         840,85          +7,03          76,21           17,5            325         1010,9
          248,0         840,35          +6,98          76,51           17,4            325         1015,8
          249,0         839,86          +6,93          76,86           17,2            325         1020,6
